index;Data;Fechamento;Variação;Variação (%);Abertura;Máxima;Mínima;Volume
0;09/24/2020;4,84;0,06;1,26%;4,79;4,88;4,71;1.004.800
1;09/23/2020;4,78;-0,03;-0,62%;4,81;4,84;4,69;1.168.300
2;09/22/2020;4,81;-0,09;-1,84%;4,90;4,92;4,78;987.000
3;09/21/2020;4,90;-0,07;-1,41%;4,98;5,03;4,80;1.189.200
4;09/18/2020;4,97;-0,06;-1,19%;5,03;5,19;4,95;1.471.700
5;09/17/2020;5,03;0,09;1,82%;4,92;5,05;4,86;1.009.900
6;09/16/2020;4,94;-0,09;-1,79%;5,04;5,15;4,87;1.894.100
7;09/15/2020;5,03;0,14;2,86%;4,89;5,05;4,83;1.058.500
8;09/14/2020;4,89;0,15;3,16%;4,76;4,89;4,75;897.300
9;09/11/2020;4,74;-0,12;-2,47%;4,89;4,89;4,71;990.400
10;09/10/2020;4,86;0,01;0,21%;4,87;4,91;4,81;1.238.400
11;09/09/2020;4,85;0,07;1,46%;4,82;4,92;4,81;1.255.700
12;09/08/2020;4,78;-0,12;-2,45%;4,87;4,88;4,77;1.342.700
13;09/07/2020;4,90;0,00;+0,00%;4,95;4,96;4,83;0
14;09/04/2020;4,90;-0,05;-1,01%;4,95;4,96;4,83;1.186.500
15;09/03/2020;4,95;-0,03;-0,6%;4,99;5,05;4,86;1.943.700
16;09/02/2020;4,98;-0,15;-2,92%;5,11;5,17;4,95;2.341.000
17;09/01/2020;5,13;0,09;1,79%;5,03;5,15;5,03;1.816.500
18;08/31/2020;5,04;-0,12;-2,33%;5,18;5,20;5,03;1.249.300
19;08/28/2020;5,16;0,02;0,39%;5,18;5,18;5,08;1.205.400
20;08/27/2020;5,14;-0,02;-0,39%;5,16;5,22;5,09;735.300
21;08/26/2020;5,16;0,06;1,18%;5,12;5,20;5,04;1.484.700
22;08/25/2020;5,10;-0,07;-1,35%;5,20;5,27;5,10;1.249.700
23;08/24/2020;5,17;0,09;1,77%;5,09;5,22;5,06;1.877.100
24;08/21/2020;5,08;0,00;+0,00%;5,17;5,17;5,05;0
25;08/21/2020;5,08;-0,08;-1,55%;5,17;5,17;5,05;1.421.700
26;08/20/2020;5,16;0,15;2,99%;4,98;5,17;4,98;2.795.600
27;08/19/2020;5,01;-0,07;-1,38%;5,13;5,13;4,96;2.282.600
28;08/18/2020;5,08;-0,02;-0,39%;5,17;5,20;5,03;2.228.700
29;08/17/2020;5,10;0,11;2,2%;4,99;5,19;4,92;2.049.900
30;08/14/2020;4,99;-0,02;-0,4%;5,03;5,18;4,97;2.238.600
31;08/13/2020;5,01;0,11;2,24%;4,89;5,09;4,82;2.655.900
32;08/12/2020;4,90;0,14;2,94%;4,76;4,90;4,72;1.974.800
33;08/11/2020;4,76;0,11;2,37%;4,65;4,80;4,61;1.463.900
34;08/10/2020;4,65;0,10;2,2%;4,58;4,70;4,57;1.399.200
35;08/07/2020;4,55;-0,08;-1,73%;4,56;4,68;4,51;1.607.100
36;08/06/2020;4,63;0,08;1,76%;4,54;4,68;4,48;1.800.900
37;08/05/2020;4,55;0,41;9,9%;4,15;4,55;4,14;4.488.300
38;08/04/2020;4,14;-0,02;-0,48%;4,21;4,23;4,03;1.687.100
39;08/03/2020;4,16;0,06;1,46%;4,13;4,22;4,08;1.373.400
40;07/31/2020;4,10;-0,14;-3,3%;4,24;4,26;4,06;1.171.300
41;07/30/2020;4,24;0,07;1,68%;4,18;4,27;4,15;924.500
42;07/29/2020;4,17;-0,03;-0,71%;4,20;4,23;4,17;731.100
43;07/28/2020;4,20;-0,07;-1,64%;4,29;4,29;4,18;776.500
44;07/27/2020;4,27;0,01;0,23%;4,30;4,33;4,24;1.029.700
45;07/24/2020;4,26;0,02;0,47%;4,24;4,35;4,19;1.417.200
46;07/23/2020;4,24;0,04;0,95%;4,21;4,26;4,16;1.290.000
47;07/22/2020;4,20;0,05;1,2%;4,16;4,30;4,13;2.053.300
48;07/21/2020;4,15;-0,09;-2,12%;4,24;4,28;4,11;2.279.800
49;07/20/2020;4,24;0,11;2,66%;4,16;4,27;4,14;1.537.600
50;07/17/2020;4,13;0,02;0,49%;4,14;4,20;4,11;1.162.400
51;07/16/2020;4,11;-0,07;-1,67%;4,18;4,22;4,10;863.600
52;07/15/2020;4,18;0,12;2,96%;4,05;4,20;4,04;2.464.600
53;07/14/2020;4,06;0,07;1,75%;4,00;4,08;3,95;1.624.200
54;07/13/2020;3,99;-0,08;-1,97%;4,08;4,10;3,98;1.875.100
55;07/10/2020;4,07;-0,04;-0,97%;4,11;4,12;4,04;926.000
56;07/09/2020;4,11;-0,07;-1,67%;4,20;4,21;4,07;1.274.700
57;07/08/2020;4,18;0,08;1,95%;4,08;4,19;4,06;1.897.100
58;07/07/2020;4,10;0,01;0,24%;4,10;4,13;4,04;1.730.300
59;07/06/2020;4,09;-0,06;-1,45%;4,17;4,19;4,07;1.550.300
60;07/03/2020;4,15;0,05;1,22%;4,11;4,16;4,08;814.800
61;07/02/2020;4,10;-0,02;-0,49%;4,13;4,20;4,06;1.436.600
62;07/01/2020;4,12;0,02;0,49%;4,08;4,19;4,05;1.291.300
63;06/30/2020;4,10;0,07;1,74%;4,05;4,12;4,01;1.838.400
64;06/29/2020;4,03;-0,04;-0,98%;4,07;4,14;4,03;1.134.300
